drivers/pcmcia/electra_cf.c:electra-cf
drivers/pinctrl/uniphier/pinctrl-uniphier-ld20.c:socionext,uniphier-ld20-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-nx1.c:socionext,uniphier-nx1-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32mp257.c:st,stm32mp257-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32mp257.c:st,stm32mp257-z-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32f469.c:st,stm32f469-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-ld6b.c:socionext,uniphier-ld6b-pinctrl
drivers/pinctrl/berlin/berlin-bg2.c:marvell,berlin2-soc-pinctrl
drivers/pinctrl/berlin/berlin-bg2.c:marvell,berlin2-system-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-sld8.c:socionext,uniphier-sld8-pinctrl
drivers/pinctrl/samsung/pinctrl-exynos.c:samsung,s5pv210-wakeup-eint
drivers/pinctrl/samsung/pinctrl-exynos.c:samsung,exynos4210-wakeup-eint
drivers/pinctrl/samsung/pinctrl-exynos.c:samsung,exynos7-wakeup-eint
drivers/pinctrl/samsung/pinctrl-exynos.c:samsung,exynos850-wakeup-eint
drivers/pinctrl/samsung/pinctrl-exynos.c:samsung,exynosautov9-wakeup-eint
drivers/pinctrl/samsung/pinctrl-exynos.c:samsung,exynosautov920-wakeup-eint
drivers/pinctrl/uniphier/pinctrl-uniphier-ld11.c:socionext,uniphier-ld11-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pxs2.c:socionext,uniphier-pxs2-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pro4.c:socionext,uniphier-pro4-pinctrl
drivers/pinctrl/berlin/berlin-bg4ct.c:marvell,berlin4ct-soc-pinctrl
drivers/pinctrl/berlin/berlin-bg4ct.c:marvell,berlin4ct-avio-pinctrl
drivers/pinctrl/berlin/berlin-bg4ct.c:marvell,berlin4ct-system-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pro5.c:socionext,uniphier-pro5-pinctrl
drivers/pinctrl/actions/pinctrl-s500.c:actions,s500-pinctrl
drivers/pinctrl/actions/pinctrl-s700.c:actions,s700-pinctrl
drivers/pinctrl/nxp/pinctrl-s32g2.c:nxp,s32g2-siul2-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pxs3.c:socionext,uniphier-pxs3-pinctrl
drivers/pinctrl/actions/pinctrl-s900.c:actions,s900-pinctrl
drivers/pinctrl/bcm/pinctrl-bcm6362.c:brcm,bcm6362-pinctrl
drivers/pinctrl/pinctrl-zynqmp.c:xlnx,zynqmp-pinctrl
drivers/pinctrl/pinctrl-zynqmp.c:xlnx,versal-pinctrl
drivers/pinctrl/pinctrl-equilibrium.c:intel,lgm-io
drivers/pinctrl/bcm/pinctrl-bcm63268.c:brcm,bcm63268-pinctrl
drivers/pinctrl/bcm/pinctrl-bcm6368.c:brcm,bcm6368-pinctrl
drivers/pinctrl/bcm/pinctrl-bcm6328.c:brcm,bcm6328-pinctrl
drivers/pinctrl/bcm/pinctrl-bcm6318.c:brcm,bcm6318-pinctrl
drivers/pinctrl/bcm/pinctrl-nsp-mux.c:brcm,nsp-pinmux
drivers/pinctrl/bcm/pinctrl-bcm63xx.c:brcm,bcm6318-gpio
drivers/pinctrl/bcm/pinctrl-bcm63xx.c:brcm,bcm6328-gpio
drivers/pinctrl/bcm/pinctrl-bcm63xx.c:brcm,bcm6358-gpio
drivers/pinctrl/bcm/pinctrl-bcm63xx.c:brcm,bcm6362-gpio
drivers/pinctrl/bcm/pinctrl-bcm63xx.c:brcm,bcm6368-gpio
drivers/pinctrl/bcm/pinctrl-bcm63xx.c:brcm,bcm63268-gpio
drivers/pinctrl/bcm/pinctrl-bcm4908.c:brcm,bcm4908-pinctrl
drivers/pinctrl/bcm/pinctrl-bcm2835.c:brcm,bcm2835-gpio
drivers/pinctrl/bcm/pinctrl-bcm2835.c:brcm,bcm2711-gpio
drivers/pinctrl/bcm/pinctrl-bcm2835.c:brcm,bcm7211-gpio
drivers/pinctrl/bcm/pinctrl-bcm6358.c:brcm,bcm6358-pinctrl
drivers/pinctrl/bcm/pinctrl-cygnus-mux.c:brcm,cygnus-pinmux
drivers/pinctrl/bcm/pinctrl-ns.c:brcm,bcm4708-pinmux
drivers/pinctrl/bcm/pinctrl-ns.c:brcm,bcm4709-pinmux
drivers/pinctrl/bcm/pinctrl-ns.c:brcm,bcm53012-pinmux
drivers/pinctrl/bcm/pinctrl-nsp-gpio.c:brcm,nsp-gpio-a
drivers/pinctrl/bcm/pinctrl-ns2-mux.c:brcm,ns2-pinmux
drivers/pinctrl/nomadik/pinctrl-nomadik.c:stericsson,stn8815-pinctrl
drivers/pinctrl/nomadik/pinctrl-nomadik.c:stericsson,db8500-pinctrl
drivers/pinctrl/bcm/pinctrl-bcm281xx.c:brcm,bcm11351-pinctrl
drivers/pinctrl/vt8500/pinctrl-wm8850.c:wm,wm8850-pinctrl
drivers/pinctrl/vt8500/pinctrl-wm8505.c:wm,wm8505-pinctrl
drivers/pinctrl/sunplus/sppctl.c:sunplus,sp7021-pctl
drivers/pinctrl/bcm/pinctrl-iproc-gpio.c:brcm,iproc-gpio
drivers/pinctrl/bcm/pinctrl-iproc-gpio.c:brcm,cygnus-ccm-gpio
drivers/pinctrl/bcm/pinctrl-iproc-gpio.c:brcm,cygnus-asiu-gpio
drivers/pinctrl/bcm/pinctrl-iproc-gpio.c:brcm,cygnus-crmu-gpio
drivers/pinctrl/bcm/pinctrl-iproc-gpio.c:brcm,iproc-nsp-gpio
drivers/pinctrl/bcm/pinctrl-iproc-gpio.c:brcm,iproc-stingray-gpio
drivers/pinctrl/pinctrl-th1520.c:thead,th1520-pinctrl
drivers/pinctrl/vt8500/pinctrl-wm8650.c:wm,wm8650-pinctrl
drivers/pinctrl/cirrus/pinctrl-lochnagar.c:cirrus,lochnagar-pinctrl
drivers/pinctrl/vt8500/pinctrl-wm8750.c:wm,wm8750-pinctrl
drivers/pinctrl/vt8500/pinctrl-vt8500.c:via,vt8500-pinctrl
drivers/pinctrl/nomadik/pinctrl-abx500.c:stericsson,ab8500-gpio
drivers/pinctrl/nomadik/pinctrl-abx500.c:stericsson,ab8505-gpio
drivers/pinctrl/renesas/core.c:renesas,pfc-emev2
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a73a4
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7740
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7742
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7743
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7744
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7745
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a77470
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a774a1
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a774b1
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a774c0
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a774e1
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7778
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7779
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7790
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7791
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7792
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7793
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7794
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7795
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a7796
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a77961
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a77965
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a77970
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a77980
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a77990
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a77995
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a779a0
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a779f0
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a779g0
drivers/pinctrl/renesas/core.c:renesas,pfc-r8a779h0
drivers/pinctrl/renesas/core.c:renesas,pfc-sh73a0
drivers/pinctrl/pinctrl-at91-pio4.c:atmel,sama5d2-pinctrl
drivers/pinctrl/pinctrl-at91-pio4.c:microchip,sama7g5-pinctrl
drivers/pinctrl/pinctrl-da9062.c:dlg,da9062-gpio
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos3250-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos4210-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos4x12-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos5250-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos5260-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos5410-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos5420-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,s5pv210-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:google,gs101-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos5433-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos7-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos7885-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos850-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos8895-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos9810-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynos990-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynosautov9-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,exynosautov920-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:tesla,fsd-pinctrl
drivers/pinctrl/samsung/pinctrl-samsung.c:samsung,s3c64xx-pinctrl
drivers/pinctrl/visconti/pinctrl-tmpv7700.c:toshiba,tmpv7708-pinctrl
drivers/pinctrl/pinctrl-axp209.c:x-powers,axp209-gpio
drivers/pinctrl/pinctrl-axp209.c:x-powers,axp221-gpio
drivers/pinctrl/pinctrl-axp209.c:x-powers,axp813-gpio
drivers/pinctrl/pinctrl-palmas.c:ti,palmas-pinctrl
drivers/pinctrl/pinctrl-palmas.c:ti,tps65913-pinctrl
drivers/pinctrl/pinctrl-palmas.c:ti,tps80036-pinctrl
drivers/pinctrl/pinctrl-tb10x.c:abilis,tb10x-iomux
drivers/cpuidle/cpuidle-arm.c:arm,idle-state
drivers/cpuidle/cpuidle-psci.c:arm,idle-state
drivers/pinctrl/pinctrl-apple-gpio.c:apple,pinctrl
drivers/pinctrl/pinctrl-st.c:st,stih407-sbc-pinctrl
drivers/pinctrl/pinctrl-st.c:st,stih407-front-pinctrl
drivers/pinctrl/pinctrl-st.c:st,stih407-rear-pinctrl
drivers/pinctrl/pinctrl-st.c:st,stih407-flash-pinctrl
drivers/pinctrl/freescale/pinctrl-imx25.c:fsl,imx25-iomuxc
drivers/pinctrl/ti/pinctrl-ti-iodelay.c:ti,dra7-iodelay
drivers/pinctrl/freescale/pinctrl-imx35.c:fsl,imx35-iomuxc
drivers/pinctrl/meson/pinctrl-meson-s4.c:amlogic,meson-s4-periphs-pinctrl
drivers/pinctrl/pinctrl-k210.c:canaan,k210-fpioa
drivers/pinctrl/freescale/pinctrl-imx6sll.c:fsl,imx6sll-iomuxc-gpr
drivers/pinctrl/freescale/pinctrl-imx6sll.c:fsl,imx6sll-iomuxc
drivers/pinctrl/meson/pinctrl-meson8b.c:amlogic,meson8b-cbus-pinctrl
drivers/pinctrl/meson/pinctrl-meson8b.c:amlogic,meson8b-aobus-pinctrl
drivers/pinctrl/realtek/pinctrl-rtd1619b.c:realtek,rtd1619b-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt7621.c:ralink,mt7621-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt7621.c:ralink,rt2880-pinmux
drivers/pinctrl/realtek/pinctrl-rtd1315e.c:realtek,rtd1315e-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt8167.c:mediatek,mt8167-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt8183.c:mediatek,mt8183-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt2712.c:mediatek,mt2712-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt8135.c:mediatek,mt8135-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt2701.c:mediatek,mt2701-pinctrl
drivers/pinctrl/mediatek/pinctrl-mt2701.c:mediatek,mt7623-pinctrl
