drivers/ufs/ti-j721e-ufs.c:ti,j721e-ufs
drivers/net/mdio_mux_meson_gxl.c:amlogic,gxl-mdio-mux
drivers/net/bcm6368-eth.c:brcm,bcm6368-enet
drivers/net/dwmac_s700.c:actions,s700-ethernet
drivers/net/altera_tse.c:altr,tse-msgdma-1.0
drivers/net/altera_tse.c:altr,tse-1.0
drivers/net/dm9000x.c:davicom,dm9000
drivers/net/mt7628-eth.c:mediatek,mt7628-eth
drivers/net/sandbox.c:sandbox,eth
drivers/net/mdio_mux_i2creg.c:mdio-mux-i2creg
drivers/net/rswitch.c:renesas,r8a779f0-ether-switch
drivers/net/mvpp2.c:marvell,armada-375-pp2
drivers/net/mvpp2.c:marvell,armada-7k-pp22
drivers/net/zynq_gem.c:xlnx,versal-gem
drivers/net/zynq_gem.c:cdns,versal-gem
drivers/net/zynq_gem.c:xlnx,zynqmp-gem
drivers/net/zynq_gem.c:cdns,zynqmp-gem
drivers/net/zynq_gem.c:xlnx,zynq-gem
drivers/net/zynq_gem.c:cdns,zynq-gem
drivers/net/zynq_gem.c:cdns,gem
drivers/net/ks8851_mll.c:micrel,ks8851-mll
drivers/net/bcmgenet.c:brcm,genet-v5
drivers/net/bcmgenet.c:brcm,bcm2711-genet-v5
drivers/net/gmac_rockchip.c:rockchip,px30-gmac
drivers/net/gmac_rockchip.c:rockchip,rk3228-gmac
drivers/net/gmac_rockchip.c:rockchip,rk3288-gmac
drivers/net/gmac_rockchip.c:rockchip,rk3308-gmac
drivers/net/gmac_rockchip.c:rockchip,rk3328-gmac
drivers/net/gmac_rockchip.c:rockchip,rk3368-gmac
drivers/net/gmac_rockchip.c:rockchip,rk3399-gmac
drivers/net/gmac_rockchip.c:rockchip,rv1108-gmac
drivers/net/ravb.c:renesas,etheravb-rcar-gen3
drivers/net/ravb.c:renesas,etheravb-rcar-gen4
drivers/net/hifemac.c:hisilicon,hisi-femac-v1
drivers/net/hifemac.c:hisilicon,hisi-femac-v2
drivers/net/hifemac.c:hisilicon,hi3516cv300-femac
drivers/net/hifemac.c:hisilicon,hi3798mv200-femac
drivers/net/xilinx_axi_emac.c:xlnx,axi-ethernet-1.00.a
drivers/net/xilinx_axi_emac.c:xlnx,xxv-ethernet-1.0
drivers/net/qe/dm_qe_uec_phy.c:fsl,ucc-mdio
drivers/net/octeon/octeon_eth.c:cavium,octeon-7890-bgx
drivers/net/fec_mxc.c:fsl,imx28-fec
drivers/net/fec_mxc.c:fsl,imx6q-fec
drivers/net/fec_mxc.c:fsl,imx6sl-fec
drivers/net/fec_mxc.c:fsl,imx6sx-fec
drivers/net/fec_mxc.c:fsl,imx6ul-fec
drivers/net/fec_mxc.c:fsl,imx53-fec
drivers/net/fec_mxc.c:fsl,imx7d-fec
drivers/net/fec_mxc.c:fsl,mvf600-fec
drivers/net/fec_mxc.c:fsl,imx93-fec
drivers/net/ti/cpsw_mdio.c:ti,davinci_mdio
drivers/net/ti/cpsw_mdio.c:ti,cpsw-mdio
drivers/net/macb.c:cdns,macb
drivers/net/macb.c:cdns,at91sam9260-macb
drivers/net/macb.c:cdns,sam9x60-macb
drivers/net/macb.c:cdns,sama7g5-gem
drivers/net/macb.c:cdns,sama7g5-emac
drivers/net/macb.c:atmel,sama5d2-gem
drivers/net/macb.c:atmel,sama5d3-gem
drivers/net/macb.c:atmel,sama5d4-gem
drivers/net/macb.c:cdns,zynq-gem
drivers/net/macb.c:sifive,fu540-c000-gem
drivers/net/ti/icssg_prueth.c:ti,am654-icssg-prueth
drivers/net/ti/icssg_prueth.c:ti,am642-icssg-prueth
drivers/net/ti/cpsw.c:ti,cpsw
drivers/net/ti/cpsw.c:ti,am335x-cpsw
drivers/net/ti/davinci_emac.c:ti,davinci-dm6467-emac
drivers/net/ti/davinci_emac.c:ti,am3517-emac
drivers/net/ti/davinci_emac.c:ti,dm816-emac
drivers/net/ti/keystone_net.c:ti,netcp-1.0
drivers/net/ti/am65-cpsw-nuss.c:ti,am654-cpsw-nuss
drivers/net/ti/am65-cpsw-nuss.c:ti,j721e-cpsw-nuss
drivers/net/ti/am65-cpsw-nuss.c:ti,am642-cpsw-nuss
drivers/net/mdio_sandbox.c:sandbox,mdio
drivers/net/bnxt/bnxt.c:broadcom,nxe
drivers/net/sh_eth.c:renesas,ether-r7s72100
drivers/net/sh_eth.c:renesas,ether-r8a7790
drivers/net/sh_eth.c:renesas,ether-r8a7791
drivers/net/sh_eth.c:renesas,ether-r8a7793
drivers/net/sh_eth.c:renesas,ether-r8a7794
drivers/net/sh_eth.c:renesas,gether-r8a77980
drivers/net/octeontx/smi.c:cavium,thunder-8890-mdio-nexus
drivers/net/sunxi_emac.c:allwinner,sun4i-a10-emac
drivers/watchdog/arm_smc_wdt.c:arm,smc-wdt
drivers/net/xilinx_emaclite.c:xlnx,xps-ethernetlite-1.00.a
drivers/watchdog/at91sam9_wdt.c:atmel,at91sam9260-wdt
drivers/net/mvmdio.c:marvell,orion-mdio
drivers/net/mvmdio.c:marvell,xmdio
drivers/net/ldpaa_eth/ldpaa_eth.c:fsl,qoriq-mc-dpmac
drivers/net/dsa_sandbox.c:sandbox,dsa
drivers/watchdog/max6370_wdt.c:maxim,max6370
drivers/net/ag7xxx.c:qca,ag933x-mac
drivers/net/ag7xxx.c:qca,ag934x-mac
drivers/net/ag7xxx.c:qca,ag953x-mac
drivers/net/ag7xxx.c:qca,ag956x-mac
drivers/watchdog/imx_watchdog.c:fsl,imx21-wdt
drivers/watchdog/orion_wdt.c:marvell,armada-380-wdt
drivers/reset/reset-ti-sci.c:ti,sci-reset
drivers/watchdog/ftwdt010_wdt.c:faraday,ftwdt010
drivers/reset/reset-npcm.c:nuvoton,npcm845-reset
drivers/reset/reset-npcm.c:nuvoton,npcm750-reset
drivers/watchdog/stm32mp_wdt.c:st,stm32mp1-iwdg
drivers/tpm/tpm2_tis_mmio.c:tcg,tpm-tis-mmio
drivers/tpm/tpm_tis_sandbox.c:google,sandbox-tpm
drivers/net/mdio_mux_mmioreg.c:mdio-mux-mmioreg
drivers/tpm/tpm_tis_infineon.c:infineon,slb9635tt
drivers/tpm/tpm_tis_infineon.c:infineon,slb9645tt
drivers/tpm/tpm2_tis_sandbox.c:sandbox,tpm2
drivers/reset/reset-syscon.c:syscon-reset
drivers/watchdog/bcm2835_wdt.c:brcm,bcm2835-pm
drivers/watchdog/bcm2835_wdt.c:brcm,bcm2835-pm-wdt
drivers/reset/reset-ast2500.c:aspeed,ast2500-reset
drivers/watchdog/sl28cpld-wdt.c:kontron,sl28cpld-wdt
drivers/watchdog/omap_wdt.c:ti,omap3-wdt
drivers/net/fm/fm.c:fsl,fman
drivers/net/rtl8169.c:realtek,rtl8169
drivers/net/fm/memac_phy.c:fsl,fman-memac-mdio
drivers/net/sja1105.c:nxp,sja1105e
drivers/net/sja1105.c:nxp,sja1105t
drivers/net/sja1105.c:nxp,sja1105p
drivers/net/sja1105.c:nxp,sja1105q
drivers/net/sja1105.c:nxp,sja1105r
drivers/net/sja1105.c:nxp,sja1105s
drivers/net/sja1105.c:nxp,sja1110a
drivers/net/sja1105.c:nxp,sja1110b
drivers/net/sja1105.c:nxp,sja1110c
drivers/net/sja1105.c:nxp,sja1110d
drivers/reset/reset-meson.c:amlogic,meson-gxbb-reset
drivers/reset/reset-meson.c:amlogic,meson-axg-reset
drivers/reset/reset-meson.c:amlogic,meson-a1-reset
drivers/watchdog/mpc8xxx_wdt.c:fsl,pq1-wdt
drivers/watchdog/mpc8xxx_wdt.c:fsl,pq2pro-wdt
drivers/tpm/tpm_tis_st33zp24_spi.c:st,st33zp24-spi
drivers/net/sni_ave.c:socionext,uniphier-pro4-ave4
drivers/net/sni_ave.c:socionext,uniphier-pxs2-ave4
drivers/net/sni_ave.c:socionext,uniphier-ld11-ave4
drivers/net/sni_ave.c:socionext,uniphier-ld20-ave4
drivers/net/sni_ave.c:socionext,uniphier-pxs3-ave4
drivers/watchdog/ast2600_wdt.c:aspeed,ast2600-wdt
drivers/tpm/tpm2_tis_spi.c:tcg,tpm_tis-spi
drivers/reset/reset-zynqmp.c:xlnx,zynqmp-reset
drivers/reset/reset-zynqmp.c:xlnx,versal-reset
drivers/reset/reset-zynqmp.c:xlnx,versal-net-reset
drivers/watchdog/npcm_wdt.c:nuvoton,npcm750-wdt
drivers/net/fm/eth.c:fsl,fman-memac
drivers/net/fm/eth.c:fsl,fman-dtsec
drivers/net/fm/eth.c:fsl,fman-xgec
drivers/watchdog/xilinx_wwdt.c:xlnx,versal-wwdt
drivers/watchdog/xilinx_wwdt.c:xlnx,versal-wwdt-1.0
drivers/net/dwmac_socfpga.c:altr,socfpga-stmmac
drivers/watchdog/cdns_wdt.c:cdns,wdt-r1p2
drivers/watchdog/sp805_wdt.c:arm,sp805
drivers/tpm/tpm_atmel_twi.c:atmel,at97sc3204t
drivers/watchdog/ast_wdt.c:aspeed,wdt
drivers/watchdog/ast_wdt.c:aspeed,ast2500-wdt
drivers/watchdog/ast_wdt.c:aspeed,ast2400-wdt
drivers/watchdog/mtk_wdt.c:mediatek,wdt
drivers/watchdog/mtk_wdt.c:mediatek,mt6589-wdt
drivers/watchdog/mtk_wdt.c:mediatek,mt7986-wdt
drivers/net/mtk_eth.c:mediatek,mt7988-eth
drivers/net/mtk_eth.c:mediatek,mt7986-eth
drivers/net/mtk_eth.c:mediatek,mt7981-eth
drivers/net/mtk_eth.c:mediatek,mt7629-eth
drivers/net/mtk_eth.c:mediatek,mt7623-eth
drivers/net/mtk_eth.c:mediatek,mt7622-eth
drivers/net/mtk_eth.c:mediatek,mt7621-eth
drivers/net/mcffec.c:fsl,mcf-fec
drivers/net/dwc_eth_qos_rockchip.c:rockchip,rk3568-gmac
drivers/net/dwc_eth_qos_rockchip.c:rockchip,rk3588-gmac
drivers/watchdog/mt7621_wdt.c:mediatek,mt7621-wdt
drivers/watchdog/booke_wdt.c:fsl,booke-wdt
drivers/watchdog/xilinx_tb_wdt.c:xlnx,xps-timebase-wdt-1.00.a
drivers/watchdog/xilinx_tb_wdt.c:xlnx,xps-timebase-wdt-1.01.a
drivers/reset/reset-dra7.c:ti,dra7-reset
drivers/reset/reset-mtmips.c:mediatek,mtmips-reset
drivers/reset/reset-socfpga.c:altr,rst-mgr
drivers/reset/reset-hisilicon.c:hisilicon,hi3798cv200-reset
drivers/watchdog/bcm6345_wdt.c:brcm,bcm6345-wdt
drivers/reset/reset-hsdk.c:snps,hsdk-reset
drivers/watchdog/armada-37xx-wdt.c:marvell,armada-3700-wdt
